,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_input_copies,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,8.469472408294678,3.5120762343539824,0.18025121688842774,0.005059235023166196,32,0.001,1,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.52,0.6,0.54,0.5,0.54,0.54,0.03346640106136301,24,0.5096153846153846,0.6570048309178743,0.48470209339774556,0.5297906602254429,0.5330112721417068,0.5428248482596307,0.05963956385159597,24
1,12.646917486190796,0.5087843312290224,0.37690348625183107,0.012337978143666129,32,0.001,1,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.58,0.8,0.84,0.8,0.72,0.7479999999999999,0.09260669522232183,10,0.6330128205128205,0.8373590982286634,0.9130434782608696,0.9049919484702094,0.7906602254428341,0.8158135141830793,0.1019013766237882,6
2,18.474842691421507,1.2930682237497948,0.7098311424255371,0.025634786214139026,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",0.58,0.78,0.84,0.78,0.76,0.7479999999999999,0.08818163074019443,10,0.6201923076923077,0.8115942028985507,0.8921095008051529,0.8856682769726247,0.8132045088566828,0.8045537594450638,0.09834543304153173,12
3,15.03608684539795,1.0077719808852517,0.19298057556152343,0.025443927240840266,32,0.001,1,2,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 1}",0.52,0.56,0.68,0.7,0.64,0.62,0.06928203230275506,20,0.5432692307692307,0.6086956521739131,0.7294685990338164,0.7198067632850241,0.644122383252818,0.6490725257029606,0.06973663889008043,20
4,24.07264909744263,0.4183300473485355,0.6860350131988525,0.0042938885155554656,32,0.001,1,2,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 5}",0.64,0.82,0.84,0.82,0.7,0.7639999999999999,0.07939773296511682,4,0.655448717948718,0.8534621578099838,0.9114331723027376,0.9082125603864735,0.78743961352657,0.8231992443948964,0.09523373790953278,2
5,43.69261999130249,3.631786765161464,1.5418649196624756,0.025828206493528155,32,0.001,1,2,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.62,0.7,0.78,0.84,0.8,0.7479999999999999,0.078587530817554,10,0.6746794871794871,0.8003220611916265,0.8776167471819646,0.9049919484702094,0.8276972624798712,0.8170615013006317,0.08008079365167303,5
6,14.575116109848022,1.5391278661663745,0.2596445083618164,0.004304981639960322,32,0.001,1,3,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 1}",0.52,0.42,0.58,0.52,0.54,0.516,0.05276362383309168,26,0.44711538461538464,0.47342995169082125,0.6328502415458938,0.3462157809983897,0.5281803542673108,0.48555834262356,0.09439581318258461,26
7,41.21111302375793,3.518810311947721,1.220528793334961,0.02628250417584688,32,0.001,1,3,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 5}",0.56,0.74,0.64,0.76,0.6,0.66,0.0779743547584717,18,0.5689102564102564,0.8164251207729469,0.7181964573268922,0.8325281803542672,0.6747181964573269,0.7221556422643378,0.09676669513662883,18
8,87.04893403053283,9.702336295262281,2.8628220081329347,0.03642512039723137,32,0.001,1,3,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 10}",0.64,0.84,0.8,0.82,0.72,0.764,0.07418894796396562,3,0.6586538461538461,0.8840579710144928,0.8067632850241546,0.8679549114331723,0.7922705314009661,0.8019401090053264,0.07968565025202826,13
9,5.030130195617676,0.9312794768707445,0.11677045822143554,0.001979877799981386,32,0.01,1,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.46,0.62,0.7,0.72,0.6,0.62,0.09208691546577069,20,0.5384615384615384,0.5845410628019324,0.7391304347826088,0.7455716586151369,0.6103059581320451,0.6436021305586523,0.08387470475575443,21
