,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_input_copies,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,8.964432382583619,0.0771357552311655,0.1969390869140625,0.006438382041476628,32,0.001,1,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.46,0.42,0.6,0.6,0.7,0.556,0.10229369482035536,1,0.47020933977455714,0.32689210950080516,0.6135265700483091,0.6607142857142857,0.7224025974025974,0.558748980488111,0.1426722753157006,1
1,12.157002687454224,1.6661887464164125,0.4373819351196289,0.0034831491566254653,32,0.001,1,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.52,0.5,0.58,0.52,0.46,0.516,0.038781438859330615,9,0.5072463768115942,0.43961352657004826,0.5861513687600644,0.45292207792207795,0.42045454545454547,0.48127757910366603,0.05985358695074996,23
2,19.63048186302185,1.8958851706000075,0.7859859943389893,0.007627955696507758,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",0.48,0.5,0.52,0.54,0.5,0.508,0.02039607805437116,19,0.4943639291465379,0.4074074074074074,0.6280193236714976,0.5081168831168831,0.45292207792207795,0.4981659242528808,0.07383697732229827,19
3,12.795267057418823,4.104985621084856,0.2091437339782715,0.0317421516947153,32,0.001,1,2,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 1}",0.54,0.48,0.4,0.46,0.38,0.45199999999999996,0.0574108003776293,26,0.5056360708534622,0.536231884057971,0.3977455716586151,0.3344155844155844,0.2662337662337662,0.40805257544387985,0.10158118837033137,27
4,20.75693259239197,0.8247786205895268,0.7516275405883789,0.012114878418990898,32,0.001,1,2,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 5}",0.52,0.44,0.54,0.52,0.56,0.516,0.040792156108742296,9,0.5024154589371981,0.3784219001610306,0.6247987117552335,0.5892857142857143,0.5438311688311688,0.5277505907940692,0.08532809730401215,5
5,42.337189722061154,3.8541914599075895,1.7537400245666503,0.020979653590386164,32,0.001,1,2,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.56,0.48,0.64,0.6,0.46,0.548,0.06881860213634101,2,0.5120772946859904,0.45410628019323673,0.6280193236714976,0.46266233766233766,0.4204545454545454,0.4954639563335215,0.07247033007363067,22
6,28.487517404556275,14.427581369359485,0.28208227157592775,0.006160880387169246,32,0.001,1,3,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 1}",0.52,0.6,0.44,0.38,0.32,0.45199999999999996,0.09927738916792686,26,0.5040257648953301,0.6859903381642511,0.4782608695652174,0.3246753246753247,0.3327922077922078,0.4651489010184662,0.13244273820569338,26
7,129.09597001075744,5.280640033553256,1.3864849090576172,0.051691320166569556,32,0.001,1,3,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 5}",0.52,0.48,0.54,0.58,0.5,0.524,0.0344093010681705,4,0.4943639291465378,0.36876006441223835,0.6038647342995169,0.5162337662337663,0.4155844155844155,0.479761381935295,0.08171301826681786,24
8,242.51145119667052,49.375434302148115,3.536013650894165,0.19369947625414694,32,0.001,1,3,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 10}",0.48,0.5,0.54,0.48,0.46,0.492,0.027129319932501082,24,0.4943639291465378,0.3977455716586152,0.6312399355877616,0.5113636363636364,0.4512987012987013,0.49720235481105046,0.07768329130096159,20
9,4.490938568115235,0.09805313029269244,0.1363088607788086,0.0027422571420672457,32,0.01,1,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.48,0.44,0.6,0.5,0.58,0.52,0.060663003552412394,7,0.4830917874396135,0.3784219001610306,0.6167471819645733,0.5974025974025974,0.5616883116883116,0.5274703557312254,0.08742612660851133,6
